Date,Open,High,Low,Close,Volume,Adjustment
12-31-19,1841.79,1853.26,1832.23,1847.84,1161707,
12-30-19,1874,1884,1840.62,1846.89,1979886,
12-27-19,1882.92,1901.4,1866.01,1869.8,3317215,
12-26-19,1801.01,1870.47,1799.5,1868.77,2959760,
12-24-19,1793.99,1795.58,1787.57,1789.21,398354,
12-23-19,1788.26,1793,1784.51,1793,863721,
12-20-19,1800.08,1802.97,1782.45,1786.5,1964364,
12-19-19,1781.25,1792.99,1774.06,1792.28,948175,
12-18-19,1795.02,1798.21,1782.36,1784.03,1319305,
12-17-19,1778.01,1792,1777.38,1790.66,1666790,
12-16-19,1767,1769.5,1757.04,1769.21,1508468,
12-13-19,1764.29,1768.99,1755,1760.94,1288252,
12-12-19,1750,1764,1745.43,1760.33,1434362,
12-11-19,1741.67,1750,1735.71,1748.72,912002,
12-10-19,1747.4,1750.67,1735,1739.21,1190962,
12-09-19,1750.66,1766.9,1745.61,1749.51,1186167,
12-06-19,1752.11,1754.4,1740.13,1751.6,1523455,
12-05-19,1762.98,1763.5,1740,1740.48,1325748,
12-04-19,1777.76,1789.09,1760.22,1760.69,1257935,
12-03-19,1760.76,1772.87,1747.23,1769.96,1666999,
12-02-19,1804,1805.55,1762.68,1781.6,1742143,
11-29-19,1817.78,1824.7,1800.79,1800.8,936753,
11-27-19,1801,1824.5,1797.31,1818.51,1524590,
11-26-19,1779.25,1797.03,1778.35,1796.94,1521395,
11-25-19,1753.69,1777.42,1753.24,1773.84,1620971,
11-22-19,1739.7,1746.43,1731,1745.72,1186695,
11-21-19,1743,1746.87,1730.36,1734.71,1224861,
11-20-19,1749.3,1762.53,1734.12,1745.53,1236874,
11-19-19,1756.99,1760.68,1743.03,1752.79,957757,
11-18-19,1738.3,1753.7,1722.71,1752.53,1417687,
11-15-19,1758.09,1761.69,1732.86,1739.49,2007154,
11-14-19,1751.43,1766.6,1749.56,1754.6,976671,
11-13-19,1773.39,1775.01,1747.32,1753.11,1373994,
11-12-19,1774.66,1786.23,1771.91,1778,808018,
11-11-19,1777.51,1780,1767.13,1771.65,953255,
11-08-19,1787.89,1789.88,1774.04,1785.88,1041523,
11-07-19,1803.76,1805.9,1783.48,1788.2,1298003,
11-06-19,1801,1802.5,1788.58,1795.77,917959,
11-05-19,1809.16,1810.25,1794,1801.71,862990,
11-04-19,1801.72,1815.06,1801.01,1804.66,1359365,
11-01-19,1789.02,1797.45,1785.21,1791.44,1305333,
10-31-19,1775.99,1792,1771.47,1776.66,1276101,
10-30-19,1760.23,1782.38,1759.11,1779.99,1147034,
10-29-19,1774.81,1777,1755.81,1762.71,1043585,
10-28-19,1750.71,1778.71,1742.5,1777.08,1885025,
10-25-19,1697.56,1764.22,1695,1761.33,4596463,
10-24-19,1769.87,1788.34,1760.26,1780.78,1571068,
