Date,Open,High,Low,Close,Volume,Adjustment
12-31-12,1398.37,1427.12,1397.72,1427.12,0,
12-28-12,1411.5,1415.95,1397.77,1397.77,0,
12-27-12,1419.72,1422.8,1401.85,1417.87,0,
12-26-12,1426.89,1429.35,1416.36,1419.83,0,
12-24-12,1427.69,1427.97,1424.74,1426.38,0,
12-21-12,1429.51,1433.67,1422.57,1431.12,0,
12-20-12,1435.87,1443.81,1432.77,1443.81,0,
12-19-12,1447.58,1448.28,1435.64,1435.87,0,
12-18-12,1432.64,1448,1430.86,1446.54,0,
12-17-12,1415.68,1430.9,1415.68,1430.9,0,
12-14-12,1416.13,1418.69,1411.88,1413.99,0,
12-13-12,1427.65,1431.37,1415.97,1419.57,0,
12-12-12,1430.98,1438.58,1426.7,1428.32,0,
12-11-12,1422.59,1434.47,1422.59,1428.99,0,
12-10-12,1415.69,1421.6,1415.52,1418.94,0,
12-07-12,1417.13,1420.37,1410.87,1417.41,0,
12-06-12,1408.22,1414.04,1405.92,1413.5,0,
12-05-12,1406.25,1415.54,1398.2,1409.05,0,
12-04-12,1408.82,1413.2,1403.63,1406.75,0,
12-03-12,1420.51,1423.78,1408.43,1409.52,0,
11-30-12,1414.95,1418.8,1411.66,1415.45,0,
11-29-12,1413.51,1419.76,1409.09,1416.05,0,
11-28-12,1394.44,1410.29,1385.44,1409.63,0,
11-27-12,1404.94,1408.96,1398.08,1399.03,0,
11-26-12,1403.73,1406.14,1397.71,1405.8,0,
11-23-12,1395.44,1409.2,1395.44,1408.05,0,
11-21-12,1389.26,1391.26,1386.43,1390.87,0,
11-20-12,1385.93,1389.75,1377.06,1388.2,0,
11-19-12,1371.79,1386.72,1371.79,1386.27,0,
11-16-12,1353.32,1362.03,1343.34,1360.65,0,
11-15-12,1354.74,1360.65,1348.08,1353.39,0,
11-14-12,1378.05,1380.14,1352.54,1356.16,0,
11-13-12,1374.25,1388.89,1370.64,1375.26,0,
11-12-12,1383.64,1385.16,1377.12,1380.3,0,
11-09-12,1373.7,1391.32,1372.6,1379.58,0,
11-08-12,1397.53,1401.24,1377.38,1377.76,0,
11-07-12,1416.61,1416.61,1388.09,1395.32,0,
11-06-12,1420.54,1433.4,1420.13,1428.98,0,
11-05-12,1412.46,1419.96,1408.03,1416.52,0,
11-02-12,1432.25,1434.88,1412.78,1413.47,0,
11-01-12,1413.32,1428.43,1413.32,1428.21,0,
10-31-12,1416.39,1418.84,1405.97,1411.32,0,
10-30-12,1413.34,1415.23,1413.34,1415.07,0,
10-29-12,1410.65,1411.61,1410.41,1411.02,0,
10-26-12,1411.02,1417.14,1403.21,1411.96,0,
10-25-12,1416.33,1421.46,1405.01,1412.08,0,
10-24-12,1416.89,1420.01,1407.06,1409.04,0,
10-23-12,1421.93,1421.93,1407.46,1412.54,0,
10-22-12,1432.18,1435.44,1422.04,1433.92,0,
10-19-12,1455.6,1455.6,1429.82,1431.92,0,
10-18-12,1457.75,1463.96,1452.62,1456.89,0,
10-17-12,1452.88,1462.15,1452.77,1460.7,0,
10-16-12,1443.79,1455.49,1443.79,1453.25,0,
10-15-12,1430.44,1441.28,1427.11,1440.07,0,
10-12-12,1432.32,1438.41,1425.47,1427.76,0,
10-11-12,1440.74,1443.85,1432.91,1433.03,0,
10-10-12,1440.97,1442.53,1430.62,1432.8,0,
10-09-12,1454.8,1455.83,1441.26,1442.26,0,
10-08-12,1456.15,1458.36,1453.07,1455.47,0,
10-05-12,1465.7,1470.9,1456.91,1460.63,0,
10-04-12,1454.03,1463.19,1454.03,1461.15,0,
10-03-12,1446.56,1454.31,1441.87,1450.94,0,
10-02-12,1447.88,1451.59,1439.15,1446.15,0,
10-01-12,1444.6,1457.21,1440.95,1444.07,0,
09-28-12,1443.76,1446.06,1435.55,1440.82,0,
09-27-12,1437.61,1450.17,1435.86,1447.33,0,
09-26-12,1439.53,1440.92,1430.48,1433.55,0,
09-25-12,1459,1463.24,1441.64,1442.89,0,
09-24-12,1454.16,1460.76,1451.49,1456.93,0,
09-21-12,1466.72,1467.22,1459.16,1459.16,0,
09-20-12,1454.92,1461.24,1449.91,1460.49,0,
09-19-12,1460.08,1465.17,1457.91,1460.28,0,
09-18-12,1458.26,1461.53,1456.13,1459.23,0,
09-17-12,1462.67,1465.29,1457.52,1461.36,0,
09-14-12,1463.67,1474.52,1461.51,1465.7,0,
09-13-12,1436.89,1463.75,1435.31,1459.51,0,
09-12-12,1436.55,1439.15,1433.03,1437.96,0,
09-11-12,1430.03,1437.7,1429.86,1433.18,0,
09-10-12,1436.34,1438.76,1428.93,1428.93,0,
