Date,Open,High,Low,Close,Volume,Adjustment
12-30-16,2249.78,2253.03,2233.81,2238.83,0,
12-29-16,2249.21,2254.43,2244.68,2249.26,0,
12-28-16,2269,2271.22,2249.18,2249.92,0,
12-27-16,2264.31,2273.77,2264.31,2268.88,0,
12-23-16,2259.62,2263.71,2258.99,2263.79,0,
12-22-16,2264.21,2264.21,2256.21,2260.96,0,
12-21-16,2270.12,2271.07,2265.22,2265.18,0,
12-20-16,2264.68,2272.5,2264.68,2270.76,0,
12-19-16,2258.19,2267.31,2258.19,2262.53,0,
12-16-16,2265.6,2267.9,2254.33,2258.07,0,
12-15-16,2254.24,2272.04,2253.59,2262.03,0,
12-14-16,2268.02,2275.9,2248.64,2253.28,0,
12-13-16,2260.96,2277.39,2260.96,2271.72,0,
12-12-16,2259.12,2263.84,2252.49,2256.96,0,
12-09-16,2248.76,2259.68,2248.68,2259.53,0,
12-08-16,2240.69,2251.62,2237.73,2246.19,0,
12-07-16,2209.56,2241.52,2209,2241.35,0,
12-06-16,2206.83,2212.74,2202.31,2212.23,0,
12-05-16,2195.97,2209.23,2195.97,2204.71,0,
12-02-16,2188.49,2197.28,2187.78,2191.95,0,
12-01-16,2202.26,2202.61,2187.48,2191.08,0,
11-30-16,2211.73,2214.1,2199.4,2198.81,0,
11-29-16,2200.54,2210.42,2198.24,2204.66,0,
11-28-16,2209.68,2211.13,2200.35,2201.72,0,
11-25-16,2205.94,2212.51,2205.94,2213.35,0,
11-23-16,2198.14,2204.72,2194.61,2204.72,0,
11-22-16,2200.86,2204.8,2194.55,2202.94,0,
11-21-16,2185.13,2198.71,2185.13,2198.18,0,
11-18-16,2188.28,2189.98,2180.41,2181.9,0,
11-17-16,2177.32,2188.03,2176.87,2187.12,0,
11-16-16,2175.71,2179.14,2172.26,2176.94,0,
11-15-16,2166.88,2180.82,2166.49,2180.39,0,
11-14-16,2167.28,2171.34,2156.21,2164.2,0,
11-11-16,2163.43,2165.88,2152.49,2164.45,0,
11-10-16,2171.54,2182.29,2151.22,2167.48,0,
11-09-16,2134.47,2170.12,2126.84,2163.26,0,
11-08-16,2126.85,2146.84,2123.67,2139.56,0,
11-07-16,2102.05,2131.92,2102.05,2131.52,0,
11-04-16,2083.39,2099.08,2083.28,2085.18,0,
11-03-16,2096.05,2102.36,2085.28,2088.66,0,
11-02-16,2108.26,2111.62,2094,2097.94,0,
11-01-16,2127.5,2131.12,2097.89,2111.72,0,
10-31-16,2127.15,2133.23,2125.55,2126.15,0,
10-28-16,2128.89,2140.63,2119.51,2126.41,0,
10-27-16,2143.85,2146.96,2132.56,2133.04,0,
10-26-16,2137.29,2145.65,2131.62,2139.43,0,
10-25-16,2150.67,2151.49,2142,2143.16,0,
10-24-16,2144.32,2154.76,2144.32,2151.33,0,
10-21-16,2141.71,2142.61,2130.2,2141.16,0,
10-20-16,2142.68,2147.1,2133.45,2141.34,0,
10-19-16,2139.57,2148.31,2138.15,2144.29,0,
10-18-16,2133.79,2144.31,2133.79,2139.6,0,
10-17-16,2132.78,2135.49,2124.44,2126.5,0,
10-14-16,2138.29,2149.14,2133.17,2132.98,0,
10-13-16,2132.34,2138.13,2114.78,2132.55,0,
10-12-16,2136.91,2145.29,2132.78,2139.18,0,
